pl_name,Max_Sig
HD 181234 b,1755.7324161126162
HD 181433 c,54.98171594307886
HD 181433 d,89.32990458188121
HD 183263 b,93.25301183755134
HD 183263 c,263.8152600098481
HD 187085 b,32.556764464779334
HD 187123 c,203.9793965634084
HD 18742 b,26.67092499781614
HD 188015 b,31.747394117675512
HD 190360 b,402.67838944939075
HD 190647 b,76.0429380507084
HD 190984 b,152.57027731012724
HD 191806 b,324.2344374599795
HD 191939 f,704.9535902305283
HD 192699 b,21.597544320234203
HD 196050 b,127.46012127330373
HD 196067 b,869.9996019074974
HD 196885 A b,174.2579139149203
HD 197037 b,44.44649342177129
HD 19994 b,55.87648392815494
HD 200964 b,23.84617292122483
HD 200964 c,23.83557569194293
HD 202206 c,849.3186795136138
HD 203473 b,269.2095777693967
HD 2039 b,179.71391101120955
