,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
796,HIP 56640 b,HIP 56640,Radial Velocity,0,2574.9,3.73,1.16,3.67,0.12,,,0,53.3,K1 III,4.93,1.04,11h36m48.21s,174.2008941,-37d02m20.89s,-37.0391349,122.324,8.14632,7.64993,2012.451223992354
797,HIP 57274 b,HIP 57274,Radial Velocity,0,8.1352,0.07,0.214,0.02,0.19,,2455801.779,0,4.6,K4 V,0.78,0.29,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,38.6381,8.57069,480.1833465843505
798,HIP 57274 c,HIP 57274,Radial Velocity,0,32.03,0.178,1.27,0.40902,0.05,,2455793.035,0,32.4,K4 V,0.68,0.73,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,38.6381,8.57069,647.0179392911244
799,HIP 57274 d,HIP 57274,Radial Velocity,0,431.7,1.01,1.27,0.5267,0.27,,,0,18.2,K4 V,0.68,0.73,11h44m40.93s,176.1705487,+30d57m27.53s,30.9576484,25.8618,38.6381,8.57069,3664.3734581702693
800,HIP 5763 b,HIP 5763,Radial Velocity,0,30.014,0.17,1.27,0.51,0.054,,,0,41.1,K6 V,0.75,0.72,01h13m58.88s,18.495343,+16d29m39.39s,16.4942738,31.9043,31.3148,9.39022,506.87093200390143
801,HIP 63242 b,HIP 63242,Radial Velocity,0,124.6,0.565,1.12,9.18,0.23,,,0,287.5,G8,10.28,1.54,12h57m31.80s,194.3824825,-65d38m46.77s,-65.6463263,156.456,6.3628,6.56453,160.82677137006365
802,HIP 65407 b,HIP 65407,Radial Velocity,0,28.125,0.177,1.28,0.428,0.14,,,0,30.5,K0,0.95,0.93,13h24m21.04s,201.087663,+48d53m05.04s,48.8847322,61.7804,16.1574,9.15101,211.3365878056184
803,HIP 65407 c,HIP 65407,Radial Velocity,0,67.3,0.316,1.24,0.784,0.12,,,0,41.5,K0,0.95,0.93,13h24m21.04s,201.087663,+48d53m05.04s,48.8847322,61.7804,16.1574,9.15101,378.08523115376755
804,HIP 65891 b,HIP 65891,Radial Velocity,0,1084.5,2.81,1.14,6.0,0.13,,,0,64.9,K0 III,8.93,2.5,13h30m25.22s,202.6050857,-58d39m51.82s,-58.6643937,150.292,6.62493,6.48224,512.8726261886131
805,HIP 67537 b,HIP 67537,Radial Velocity,0,2556.5,4.91,1.11,11.1,0.59,,,0,112.7,K1 III,8.69,2.41,13h50m19.40s,207.5808445,-39d54m03.24s,-39.9008996,116.046,8.58881,6.17087,1205.6132516102925
806,HIP 67851 b,HIP 67851,Radial Velocity,0,88.9,0.46,1.21,1.38,0.05,,,0,45.5,K0 III,5.92,1.63,13h53m51.69s,208.465364,-35d18m52.75s,-35.3146536,64.1181,15.5674,5.89329,301.70405350320385
807,HIP 67851 c,HIP 67851,Radial Velocity,0,2131.8,3.82,1.14,6.3,0.17,,,0,69.0,K0 III,5.92,1.63,13h53m51.69s,208.465364,-35d18m52.75s,-35.3146536,64.1181,15.5674,5.89329,2508.8668301825624
