,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
624,HD 42012 b,HD 42012,Radial Velocity,0,857.5,1.67,1.21,1.6,0.2,,,0,39.0,K0,0.82,0.83,06h09m56.51s,92.485473,+34d08m03.02s,34.1341722,36.7984,27.1464,8.22949,83.01339750648484
626,HD 4203 c,HD 4203,Radial Velocity,0,6700.0,6.95,1.19,2.17,0.24,,2453780.0,0,22.2,G5,1.5,0.99,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.3795,12.2595,8.51545,178.2341359060908
627,HD 4208 b,HD 4208,Radial Velocity,0,832.97,1.662,1.24,0.81,0.042,,2452114.0,0,19.03,G7 V Fe-1 CH-0.5,0.85,0.88,00h44m27.01s,11.1125532,-26d30m54.14s,-26.5150392,34.1937,29.2163,7.61066,42.66350232521474
636,HD 45350 b,HD 45350,Radial Velocity,0,963.6,1.92,1.2,1.79,0.778,,2453802.1,0,58.0,G5 V,1.26,0.98,06h28m45.65s,97.1902262,+38d57m45.83s,38.9627315,46.8733,21.3056,7.7,70.54414561829294
644,HD 4732 c,HD 4732,Radial Velocity,0,2732.0,4.6,1.19,2.37,0.23,,,0,24.4,K0 IV,5.4,1.74,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.7841,18.2248,5.6509,109.1778326940983
647,HD 47536 b,HD 47536,Radial Velocity,0,712.13,1.93,1.13,7.32,0.2,,,0,113.0,K1 III,23.47,2.1,06h37m47.75s,99.448958,-32d20m22.03s,-32.3394531,122.536,8.13352,4.88004,54.270067825759575
652,HD 50499 b,HD 50499,Radial Velocity,0,2447.1,3.833,1.2,1.636,0.266,,2455005.0,0,21.99,G1 V,1.35,1.25,06h52m01.94s,103.008075,-33d54m54.96s,-33.915267,46.2845,21.5765,7.0564,103.33847459196605
653,HD 50499 c,HD 50499,Radial Velocity,0,8619.9,9.02,1.17,2.93,0.0,,2452710.0,0,24.23,G1 V,1.42,1.31,06h52m01.94s,103.008075,-33d54m54.96s,-33.915267,46.2845,21.5765,7.0564,415.2782497532326
654,HD 50554 b,HD 50554,Radial Velocity,0,1293.0,2.353,1.15,4.954,0.501,,2453200.5,0,104.0,F8 V,1.02,1.04,06h54m42.79s,103.678273,+24d14m42.51s,24.2451409,31.1664,32.057,6.69786,343.3463889195944
661,HD 55696 b,HD 55696,Radial Velocity,0,1827.0,3.18,1.16,3.87,0.705,,,0,76.7,G0 V,1.52,1.29,07h12m14.93s,108.0622029,-38d10m28.70s,-38.174639,77.9693,12.7967,7.81135,116.94268919668106
663,HD 5608 b,HD 5608,Radial Velocity,0,779.9,1.911,1.2,1.681,0.056,,,0,28.0,K0,5.14,1.53,00h58m14.26s,14.5594349,+33d57m02.08s,33.9505774,58.1105,17.1801,5.72695,34.485080143558534
666,HD 59686 A b,HD 59686 A,Radial Velocity,0,299.36,1.086,1.13,6.92,0.05,,,0,136.9,K2 III,13.2,1.9,07h31m48.45s,112.9518629,+17d05m08.59s,17.0857195,89.2721,11.1741,5.13228,42.244507287459506
669,HD 60532 c,HD 60532,Radial Velocity,0,600.1,1.6,1.18,2.51,0.03,,,0,46.1,F6 IV,2.57,1.5,07h34m03.14s,113.5130656,-22d17m45.12s,-22.2958661,25.9716,38.4773,4.30793,98.027876781358
670,HD 62509 b,HD 62509,Radial Velocity,0,589.64,1.64,1.19,2.3,0.02,,,0,41.0,K0IIIvar,8.9,2.0,07h45m18.92s,116.328824,+28d01m34.06s,28.026127,10.34,96.74,,184.07647609216696
677,HD 65216 b,HD 65216,Radial Velocity,0,577.6,1.301,1.22,1.295,0.27,,,0,35.7,G5 V,0.88,0.87,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205,28.4445,7.7943,52.42447373221462
678,HD 65216 c,HD 65216,Radial Velocity,0,5370.0,5.75,1.19,2.03,0.17,,,0,26.0,G5 V,0.89,0.87,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205,28.4445,7.7943,363.34998580077007
679,HD 66141 b,HD 66141,Radial Velocity,0,480.5,1.2,1.14,6.0,0.07,,,0,146.2,K2 III,21.4,1.1,08h02m15.91s,120.5662825,+02d20m06.10s,2.3350265,68.1509,14.6704,3.97926,94.68909210229285
680,HD 66428 b,HD 66428,Radial Velocity,0,2263.12,3.467,1.17,3.204,0.493,,2456562.0,0,54.03,G8 IV (+ G),1.1,1.08,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817,18.7398,8.08142,183.96003809962468
681,HD 66428 c,HD 66428,Radial Velocity,0,39000.0,23.0,1.07,27.0,0.32,,2445900.0,0,150.0,G8 IV (+ G),1.17,1.05,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817,18.7398,8.08142,10538.748747020174
682,HD 67087 b,HD 67087,Radial Velocity,0,352.2,1.08,1.17,3.06,0.17,,,0,73.6,F8 V,1.55,1.36,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217,13.0396,7.92235,30.35220757435833
683,HD 67087 c,HD 67087,Radial Velocity,0,2374.0,3.86,1.15,4.85,0.76,,,0,93.3,F8 V,1.55,1.36,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217,13.0396,7.92235,171.66094136956866
684,HD 6718 b,HD 6718,Radial Velocity,0,2496.0,3.55,1.2,1.68,0.1,,,0,24.1,G5 V,0.95,1.08,01h07m48.86s,16.9536005,-08d14m01.02s,-8.2336165,51.3444,19.4476,8.28147,106.85214011141427
685,HD 68402 b,HD 68402,Radial Velocity,0,1103.0,2.18,1.17,3.07,0.03,,,0,54.7,G5 IV/V,1.02,1.12,08h05m23.39s,121.3474609,-74d24m36.26s,-74.4100732,78.4293,12.7214,8.95443,72.38549480024761
687,HD 68988 c,HD 68988,Radial Velocity,0,16000.0,13.2,1.09,15.0,0.45,,2451660.0,0,121.0,G2 V,1.26,1.17,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447,16.4066,8.04611,2633.768433804764
688,HD 69123 b,HD 69123,Radial Velocity,0,1193.3,2.482,1.17,3.04,0.19,,,0,46.8,K1 III,7.72,1.68,08h14m13.20s,123.55499,-35d29m23.73s,-35.4899246,75.116,13.2843,5.49555,60.18955834625601
692,HD 70573 b,HD 70573,Radial Velocity,0,851.8,1.76,1.14,6.1,0.4,,,0,148.5,G1-1.5 V,0.98,1.0,08h22m49.90s,125.7079153,+01d51m32.79s,1.8591088,59.182,16.8683,8.54261,173.0287503925628
693,HD 70642 b,HD 70642,Radial Velocity,0,2124.54,3.318,1.19,1.993,0.175,,,0,30.4,G5,0.98,1.08,08h21m27.87s,125.3661079,-39d42m16.00s,-39.7044432,29.276,34.1287,6.99211,199.66848258522862
696,HD 72659 b,HD 72659,Radial Velocity,0,3658.0,4.75,1.16,3.85,0.22,,2457164.0,0,41.0,G2 V,1.46,1.43,08h34m03.07s,128.5128072,-01d34m07.08s,-1.5686323,51.8949,19.241,7.3107,259.235413220024
698,HD 73267 b,HD 73267,Radial Velocity,0,1245.36,2.187,1.17,3.097,0.23,,,0,64.65,G5 V,0.91,0.9,08h36m17.64s,129.0735123,-34d27m34.01s,-34.4594469,50.4093,19.8087,8.67835,142.52308060350833
701,HD 73534 b,HD 73534,Radial Velocity,0,1750.0,2.99,1.23,1.112,0.126,,,0,17.11,G5,2.58,1.16,08h39m15.68s,129.8153421,+12d57m35.89s,12.9599703,83.3321,11.9716,7.95707,32.79183065848125
703,HD 74156 c,HD 74156,Radial Velocity,0,2473.0,3.85,1.12,8.06,0.432,,2457109.7,0,116.5,G0,1.51,1.24,08h42m25.15s,130.6047813,+04d34m38.04s,4.5772338,57.603,17.3315,7.46934,414.1693913872436
707,HD 75784 c,HD 75784,Radial Velocity,0,7900.0,8.4,1.14,5.64,0.489,,,0,56.5,G5,3.4,1.26,08h52m23.81s,133.0992289,+13d13m59.00s,13.2330548,85.4321,11.677,7.5599,419.35537119437936
708,HD 75898 b,HD 75898,Radial Velocity,0,422.9,1.191,1.18,2.71,0.11,,,0,63.39,G0,1.58,1.26,08h53m50.69s,133.4611999,+33d03m24.08s,33.0566885,78.0505,12.7836,7.89597,31.327437967958897
716,HD 79498 b,HD 79498,Radial Velocity,0,1807.0,2.98,1.22,1.34,0.575,,,0,26.0,G5,1.05,1.08,09h15m09.26s,138.7885794,+23d22m29.57s,23.3748792,48.9489,20.401,7.8859,72.07831762642098
718,HD 80869 b,HD 80869,Radial Velocity,0,1711.7,2.878,1.15,4.86,0.862,,,0,151.9,G1 V,1.06,1.08,09h23m09.91s,140.7912931,+33d54m17.39s,33.9048294,85.3951,11.6821,8.33173,144.53036198382108
719,HD 81040 b,HD 81040,Radial Velocity,0,1001.70001,1.94,1.13,7.27,0.53,,,0,168.0,G2/G3,0.91,1.05,09h23m46.92s,140.9455027,+20d21m52.59s,20.3646078,34.4341,29.0122,7.55543,382.2355037045388
721,HD 81817 b,HD 81817,Radial Velocity,0,1047.1,3.3,1.06,27.1,0.17,,,0,211.4,K3 III,83.8,4.3,09h37m05.18s,144.2715659,+81d19m34.71s,81.3263096,269.126,3.71783,3.80122,73.35782554043743
723,HD 82943 b,HD 82943,Radial Velocity,0,441.47,1.18306,1.2,1.681,0.162,90.0,2455114.6,0,41.91,G2/3V,1.18,1.08,09h34m50.74s,143.7114034,-12d07m49.07s,-12.1302976,27.5902,36.2158,6.38964,62.69279577428094
724,HD 82943 c,HD 82943,Radial Velocity,0,220.078,0.74345,1.2,1.959,0.3663,90.0,2455135.17,0,65.4,G2/3V,1.18,1.08,09h34m50.74s,143.7114034,-12d07m49.07s,-12.1302976,27.5902,36.2158,6.38964,45.93403729758453
733,HD 86264 b,HD 86264,Radial Velocity,0,1475.0,2.86,1.13,7.0,0.7,,,0,132.0,F7 V,1.88,1.42,09h56m57.82s,149.2409308,-15d53m43.44s,-15.8953993,67.8107,14.7184,7.28372,197.79808389654423
734,HD 8673 b,HD 8673,Radial Velocity,0,1634.0,3.02,1.1,14.2,0.723,,,0,288.0,F5,1.5,1.28,01h26m09.08s,21.5378455,+34d34m45.62s,34.5793389,37.8619,26.3829,6.2242,824.5186838054024
737,HD 87883 b,HD 87883,Radial Velocity,0,2754.0,3.58,1.21,1.54,0.53,,2454589.0,0,34.7,K0,0.79,0.66,10h08m43.06s,152.1794175,+34d14m31.19s,34.2419984,18.2912,54.6421,7.27194,407.67274319690694
739,HD 89307 b,HD 89307,Radial Velocity,0,2166.0,3.27,1.19,2.11,0.2,,,0,28.9,G0,1.1,1.27,10h18m21.00s,154.5874958,+12d37m15.38s,12.6209392,32.0104,31.211,6.86817,175.78466236820947
740,HD 89744 b,HD 89744,Radial Velocity,0,256.78,0.917,1.12,8.35,0.677,,,0,269.66,F7 V,2.13,1.86,10h22m10.40s,155.5433193,+41d13m44.17s,41.2289354,38.6364,25.8537,5.60551,107.84709272085789
743,HD 92788 b,HD 92788,Radial Velocity,0,325.803,0.97,1.16,3.76,0.35,,2450581.2,0,108.24,G6 V,1.14,1.15,10h42m48.51s,160.7021351,-02d11m04.98s,-2.1847173,34.6538,28.8281,7.13929,87.4369357273117
744,HD 92788 c,HD 92788,Radial Velocity,0,11611.2975,10.5,1.16,3.67,0.46,,2450140.0,0,33.29,G6 V,1.14,1.15,10h42m48.51s,160.7021351,-02d11m04.98s,-2.1847173,34.6538,28.8281,7.13929,924.251555691314
